,EID,ELat,Elong,Freq,TotalCheckIn,PercentMovement,DistancingScore,checkABC,BCount,ACount,CrossPrvFlag
0,11000157,13.8232,100.5276,34.0,35.0,0.9714285714285714,0.9714285714285714,0,0,0,1
1,11000790,13.2715,101.1677,14.0,16.0,0.875,0.5192501074814366,0,0,0,0
2,11002715,13.7518,100.5292,34.0,43.0,0.7906976744186046,0.7906976744186046,0,0,0,0
3,11003492,14.5076,100.5455,19.0,46.0,0.41304347826086957,0.41304347826086957,0,0,0,0
4,11004992,16.4732,102.8583,18.0,30.0,0.6,0.6,0,0,0,1
5,11005964,13.7008,100.4879,23.0,33.0,0.696969696969697,0.696969696969697,0,0,0,0
6,11007176,16.7142,102.8974,13.0,26.0,0.5,0.4821608140899055,0,0,0,0
7,11007982,16.1393,99.7213,4.0,16.0,0.25,0.14835717356612477,0,0,0,6
8,11008801,9.3884,99.1677,24.0,37.0,0.6486486486486487,0.6486486486486487,0,0,0,0
9,11009431,13.8199,100.1943,12.0,35.0,0.34285714285714286,0.34285714285714286,0,0,0,0
10,11010360,7.6384,100.0679,2.0,4.0,0.5,0.07417858678306238,0,0,0,1
11,11011328,16.7366,102.8213,34.0,41.0,0.8292682926829268,0.8292682926829268,0,0,0,2
12,11011675,18.8577,98.9696,16.0,18.0,0.8888888888888888,0.5934286942644991,0,0,0,0
13,11011942,17.4794,101.6157,9.0,35.0,0.2571428571428571,0.2571428571428571,0,0,0,7
14,11012226,17.3501,102.8234,23.0,49.0,0.46938775510204084,0.46938775510204084,0,0,0,0
15,11012458,19.8701,99.8315,28.0,30.0,0.9333333333333333,0.9333333333333333,0,0,0,0
16,11012876,17.642,100.0979,15.0,29.0,0.5172413793103449,0.5172413793103449,0,0,0,1
17,11013416,15.2395,104.858,5.0,18.0,0.2777777777777778,0.185446466957656,0,0,0,1
18,11013417,15.8665,104.7125,5.0,26.0,0.19230769230769232,0.185446466957656,0,0,0,0
19,11013422,7.9013,98.3522,5.0,35.0,0.14285714285714285,0.14285714285714285,0,0,0,0
20,11013433,7.0163,100.4295,10.0,34.0,0.29411764705882354,0.29411764705882354,0,0,0,1
21,11013438,15.0724,102.1996,3.0,15.0,0.2,0.11126788017459358,0,0,0,6
22,11013453,16.9677,103.9513,6.0,22.0,0.2727272727272727,0.22253576034918715,0,0,0,9
23,11013505,16.4028,101.142,21.0,22.0,0.9545454545454546,0.7788751612221552,0,0,0,0
24,11013506,16.165,99.7275,8.0,33.0,0.24242424242424243,0.24242424242424243,0,0,0,2
25,11013510,13.3549,100.9877,23.0,23.0,1.0,0.8530537480052174,0,0,0,0
26,11013514,13.7915,100.188,16.0,28.0,0.5714285714285714,0.5714285714285714,0,0,0,0
27,11013522,7.1026,100.5321,10.0,25.0,0.4,0.370892933915312,0,0,0,0
28,11013530,13.7995,100.4739,32.0,33.0,0.9696969696969697,0.9696969696969697,0,0,0,1
29,11013538,13.8338,100.6615,12.0,22.0,0.5454545454545454,0.4450715206983743,0,0,0,0
30,11013541,16.4611,100.3603,8.0,28.0,0.2857142857142857,0.2857142857142857,0,0,0,1
31,11013546,13.944,99.6535,2.0,16.0,0.125,0.07417858678306238,0,0,0,0
32,11013551,13.3416,100.9802,30.0,30.0,1.0,1.0,0,0,0,0
33,11013556,15.9405,99.9562,14.0,33.0,0.42424242424242425,0.42424242424242425,0,0,0,0
34,11013558,16.4628,99.5402,25.0,32.0,0.78125,0.78125,0,0,0,0
35,11013563,16.1988,100.4047,14.0,33.0,0.42424242424242425,0.42424242424242425,0,0,0,0
36,11013567,13.9383,99.6482,12.0,33.0,0.36363636363636365,0.36363636363636365,0,0,0,0
37,11013571,16.3091,99.7092,17.0,36.0,0.4722222222222222,0.4722222222222222,0,0,0,0
38,11013572,16.1744,99.7307,36.0,51.0,0.7058823529411765,0.7058823529411765,0,0,0,1
39,11013573,16.1566,99.7191,9.0,34.0,0.2647058823529412,0.2647058823529412,0,0,0,4
40,11013576,16.1759,99.7297,8.0,35.0,0.22857142857142856,0.22857142857142856,0,0,0,0
41,11013577,14.6367,103.9804,3.0,23.0,0.13043478260869565,0.11126788017459358,0,0,0,8
42,11011012,14.8706,101.6946,10.0,33.0,0.30303030303030304,0.30303030303030304,0,0,0,0
43,11011013,15.0689,102.2017,4.0,37.0,0.10810810810810811,0.10810810810810811,0,0,0,1
44,11013180,14.3231,100.4367,15.0,31.0,0.4838709677419355,0.4838709677419355,0,0,0,0
45,11013185,16.1651,99.7278,17.0,36.0,0.4722222222222222,0.4722222222222222,0,0,0,1
46,11013591,15.2848,103.2803,7.0,25.0,0.28,0.25962505374071837,0,0,0,0
47,11013592,15.3011,103.2406,9.0,47.0,0.19148936170212766,0.19148936170212766,0,0,0,1
48,11013804,14.3206,100.4454,10.0,18.0,0.5555555555555556,0.370892933915312,0,0,0,0
49,11013806,9.0796,99.1728,13.0,40.0,0.325,0.325,0,0,0,0
50,11013827,16.5726,102.9549,8.0,28.0,0.2857142857142857,0.2857142857142857,0,0,0,0
51,11013829,9.1208,99.3172,6.0,34.0,0.17647058823529413,0.17647058823529413,0,0,0,0
52,11013839,17.3621,100.0248,8.0,36.0,0.2222222222222222,0.2222222222222222,0,0,0,3
53,11013842,16.4923,99.5207,19.0,33.0,0.5757575757575758,0.5757575757575758,1,0,0,1
54,11013843,16.1973,99.7546,26.0,38.0,0.6842105263157895,0.6842105263157895,0,0,0,2
55,11013846,14.0325,100.7397,17.0,20.0,0.85,0.6305179876560303,0,0,0,1
56,11013847,16.1796,99.7281,11.0,32.0,0.34375,0.34375,0,0,0,1
57,11013852,16.1415,99.7197,16.0,34.0,0.47058823529411764,0.47058823529411764,0,0,0,0
58,11013855,14.3206,100.4454,12.0,16.0,0.75,0.4450715206983743,0,0,0,0
59,11013856,14.3159,100.4465,8.0,45.0,0.17777777777777778,0.17777777777777778,0,0,0,0
60,11013857,14.3134,100.4133,8.0,16.0,0.5,0.29671434713224953,0,0,0,0
61,11013866,16.7925,100.2306,16.0,17.0,0.9411764705882353,0.5934286942644991,0,0,0,0
62,11013867,16.1661,99.7287,4.0,20.0,0.2,0.14835717356612477,0,0,0,8
63,11013873,13.7986,100.5778,12.0,14.0,0.8571428571428571,0.4450715206983743,0,0,0,0
64,11013875,13.6769,100.4432,29.0,33.0,0.8787878787878788,0.8787878787878788,0,0,0,1
65,11013877,14.1874,100.6339,17.0,30.0,0.5666666666666667,0.5666666666666667,0,0,0,0
66,11013880,14.1879,100.6339,24.0,39.0,0.6153846153846154,0.6153846153846154,0,0,0,1
67,11013882,14.1318,100.6345,25.0,32.0,0.78125,0.78125,0,0,0,3
68,11013884,14.1854,100.6333,11.0,28.0,0.39285714285714285,0.39285714285714285,0,0,0,1
